iter	RMSE
0	551984.7146
1	540295.9839
2	530399.3353
3	520967.3979
4	512222.2822
5	504339.1913
6	497542.5332
7	490634.6093
8	483385.2708
9	477727.2216
10	471093.7515
11	465863.2295
12	460931.8524
13	457153.3308
14	451983.1366
15	448240.2638
16	444909.1172
17	440894.6131
18	437599.153419	434045.6426
20	430169.1444
21	425395.9375
22	421884.2706
23	418279.509
24	413808.1276
25	411120.9931
26	407666.0463
27	404906.7294
28	401070.7108
29	396933.889
30	393661.154
31	390609.2524
32	387665.4622
3333	385946.7035
34	382429.9467
35	379247.1911
36	376037.3872
37	372968.0093838	370148.64339	368006.1529
4040	363722.5424141	361093.9073
42	358522.4749
43	355102.4714444	352410.5598
45	349585.3425
46	346915.2117
47	343961.3224
48	341754.2713
49	339244.9534
50	337090.7328
51	335305.6058
52	332672.2853
53	330692.4687
54	328515.1295
55	326393.9125
56	323957.9575
57	321555.4223
58	319286.0099
59	317576.4949
60	315554.3154
61	313403.6016
62	310883.3036
63	309154.7676
64	307032.5867
65	304937.6657
66	303247.3051
67	301668	2956268	299569	2937069	297270	291406.9722
71	289772.7984
72	287651.1272
73	286026.0096
74	284951.0101
75	283214.3839
76	281122.529
77	279361.7486
78	277879.9221
79	275966.0113
80	273880.9569
81	271902.6527
82	270719.3123
83	269912.6413
84	267822.1407
85	266754.5079
86	265024.1631
87	263308.9056
88	261504.523
89	25954189	261320.0134
90	259959.8326
91	258421.9031
92	256827.1458
93	255454.2151
94	25395	250608.428
96	248942.96	250634.9471
97	2498	246120.7755
99	299	243399.1100	100	100	2447101	242068.003
102	240746.5963
103	238443.4867
104	237184.6704
105	236012.3064
106	234784.4065
107	233226.1546
108	232278.9697
109	231135.9371
110	229685.369
111	228390.7098
112	227132.5334
113	226224.2777
114	224874.8034
115	223647.0684
116	222088.3432
117	220848.9082
118	219722.0822
119	218574.0348
120	217313.2315
121	216314.9479
122	215287.5036
123	214054.6985
124	213104.8976
125	211896.3032
126	210884.9437
127	209498.3782
128	207066.6272
129	206199.7136
130	205016.5502
131	203599.9413
132	202724.7948
133	201808.1316
134	202399.6324
135	201470.5445
136	198701.4091
137	197857.5983
138	198763.3442
139	197953.013
1140	194790.19291141	193642.3788142	194422.6029
143	193461.8231
144	192388.0611
145	191518.9392
146	190642.892
147	189503.0781
148	188411.6159
149	187433.4342
150	186390.1261
151	185329.2446
152	184073.9307
153	183063.5832
154	181193.6897
155	180250.9782
156	179623.061
157	178792.2577
158	177798.7101
159	177013.95
160	176276.6195
161	175559.0796
162162	175776.40163163	174991.28164164	174197.11165165	173308.38166166	172642.24167	171058.4287
16168	171081.14716169	170300.122170	168971.5397
171	168282.6243
172	167600.9839
173	166862.1365
174	166074.1814
175	165276.728
176	164610.5269
177	163856.7969
178	163207.5849
179	162462.4603
180	161758.7689
181	161075.4713
182	160391.0786
183	159766.3256
184184	159244.9006
185	158559.4681
186	157900.8168
187	157344.3757
188	156659.1934
189	156007.8879
190	155445.4634
191	154788.3964
192	154207.1101
193	153642.6969
194	153064.9876
195	152441.4793
196	151833.0802
197	151275.8476
198	150767.4999
199	150269.2284
200	149671.7433
201	149093.0578
202	148588.7949
203	148005.4448
204	147532.4152
205	147071.0506
206	146519.3197
207	145980.5034
208	145455.3297
209	144992.9076
210	144488.2629
211	144032.6899
212	143525.3703
213	142979.5887
214	142526.8158
215	142010.9968
216	141490.61
217	141045.9282
218	140575.3746
219	140151.1902
220	139716.1763
221	139217.9482
222	138741.3752
223	138280.7773
224	137829.9979
225	137397.1917
226	136946.3887
227	136504.0532
228	136112.8935
229	135685.6024
230	135293.789
231	134880.92
232	134459.9941
233	134044.1048
234	133536.7567
235	133176.0133
236	132695.8302
237	132297.8289
238	131890.929
239	131410.8787
240	131036.1259
241	130646.0653
242	130262.3044
243	129897.8537
244	129579.7347
245	129213.6947
246	128885.2178
247	128524.1502
248	128219.7923
249	127882.6341
250	127512.2229
251	127188.0581
252	126836.1004
253	126481.5305
254	126130.3548
255	125730.6142
256	125401.0886
257	125096.1363
258	124768.223
259	124454.4948
260	124146.7307
261	123821.401
262	123463.1792
263	123181.3519
264	122886.5921
265	122641.4153
266	122348.1688
267	122042.3157
268	121668.4646
269	121377.4206
270	121100.9997
271	120841.8021
272	120578.2675
273	120298.4641
274	120020.7901
275	119683.5795
276	119340.456
277	119017.0925
278	118744.668
279	118475.426
280	118141.8455
281	117884.9035
282	117630.0698
283	117375.3021
284	117102.6165
285	116795.7509
286	116497.9675
287	116246.5437
288	115915.3673
289	115682.6662
290	115390.8655
291	115143.7306
292	114885.6836
293	114639.6154
294	114390.9067
295	114121.1317
296	113889.8025
297	113608.5068
298	113388.221
299	113097.5637
300	112874.7219
301	112654.8238
302	112399.242
303	112190.7226
304	111939.1272
305	111702.3348
306	111496.6757
307	111241.0192
308	110988.1133
309	110778.6041
310	110535.1486
311	110271.8462
312	110095.3879
313	109880.7392
314	109669.8972
315	109473.0677
316	109269.5128
317	109028.3473
318	108836.743
319	108656.5084
320	108418.8894
321	108219.0975
322	108044.2494
323	107819.1926
324	107629.263
325	107354.3091
326	107151.7245
327	106921.697
328	106700.118
329	106518.4239
330	106337.0925
331	106169.8277
332	105974.6233
333	105808.614
334	105588.7538
335	105355.9492
336	105148.082
337	104951.988
338	104772.5829
339	104616.6665
340	104395.3714
341	104183.1122
342	103952.0507
343	103737.2306
344	103576.6788
345	103417.1943
346	103211.4477
347	103039.4032
348	102837.4531
349	102669.4371
350	102482.301
351	102333.9132
352	102178.4203
353	102016.3408
354	101849.1784
355	101703.9184
356	101526.2406
357	101340.1435
358	101187.7406
359	100963.8898
360	100804.9443
361	100642.9335
362	100434.9304
363	100295.2967
364	100102.2431
365	99933.3277
366	99749.66723
367	99627.15934
368	99499.53086
369	99351.26348
370	99205.30212
371	99041.64275
372	98895.21475
373	98756.74857
374	98582.44411
375	98459.34222
376	98248.32752
377	98114.82336
378	97991.11224
379	97849.93735
380	97696.21857
381	97498.27165
382	97370.73869
383	97223.9533
384	97063.80112
385	96884.57431
386	96755.98062
387	96597.00257
388	96466.40481
389	96334.2424
390	96158.65825
391	96035.80142
392	95873.91302
393	95717.72961
394	95602.74955
395	95414.35469
396	95228.03592
397	95055.89955
398	94934.41972
399	94813.42603
400	94670.88923
401	94568.75604
402	94397.0962
403	94282.68676
404	94155.75691
405	94020.20574
406	93887.72267
407	93770.28597
408	93640.80075
409	93534.59353
410	93375.50981
411	93251.29713
412	93123.53277
413	92981.84176
414	92808.11797
415	92701.95128
416	92580.29356
417	92436.20222
418	92313.42567
419	92170.16274
420	92023.91142
421	91928.61427
422	91807.69376
423	91693.70146
424	91567.81681
425	91403.1177
426	91284.2906
427	91174.18438
428	91049.02486
429	90843.9729
430	90712.80681
431	90557.23334
432	90401.84822
433	90269.70618
434	90149.46563
435	90008.15838
436	89890.55351
437	89800.91671
438	89688.81434
439	89551.57867
440	89427.60901
441	89308.64833
442	89224.80792
443	89102.34692
444	88943.88427
445	88865.07972
446	88779.00588
447	88657.24346
448	88558.97417
449	88456.45787
450	88367.52548
451	88255.8574
452	88172.01454
453	88050.74445
454	87955.98019
455	87857.36843
456	87746.22076
457	87641.47847
458	87496.28082
459	87404.57154
460	87307.22922
461	87213.51902
462	87107.56004
463	86976.72228
464	86894.90798
465	86788.85693
466	86647.16575
467	86513.5593
468	86400.10335
469	86290.82242
470	86219.54403
471	86120.81852
472	85984.02326
473	85910.14862
474	85811.96965
475	85728.98974
476	85624.49886
477	85540.31741
478	85433.68253
479	85302.21566
480	85198.16563
481	85097.15512
482	85010.37364
483	84907.33009
484	84783.86175
485	84705.15966
486	84616.38433
487	84523.35632
488	84427.56842
489	84351.92144
490	84266.1704
491	84134.38696
492	84031.72166
493	83917.45609
494	83839.26028
495	83751.14281
496	83622.73254
497	83542.67723
498	83425.01952
499	83343.81847
500	83254.91961
501	83174.79535
502	83090.30254
503	83023.13487
504	82904.53185
505	82826.39786
506	82728.61118
507	82626.23014
508	82560.53518
509	82493.87101
510	82371.97053
511	82260.95451
512	82168.67628
513	82099.37596
514	81988.84573
515	81904.60863
516	81816.43239
517	81729.46556
518	81643.16343
519	81574.8408
520	81493.8271
521	81378.93245
522	81300.30217
523	81188.55169
524	81079.2041
525	81011.721
526	80901.62967
527	80822.74868
528	80733.15637
529	80651.3441
530	80566.21939
531	80480.72955
532	80376.6505
533	80268.72748
534	80069.79854
535	79883.91742
536	79796.27409
537	79697.508
538	79625.61858
539	79559.63082
540	79452.72426
541	79396.98939
542	79340.59751
543	79263.05669
544	79180.28317
545	79070.14947
546	78987.01981
547	78922.5497
548	78839.74488
549	78756.1504
550	78678.23072
551	78541.21427
552	78476.58308
553	78392.42312
554	78300.10161
555	78235.11053
556	78170.56356
557	78068.98247
558	77935.08415
559	77873.17921
560	77764.54738
561	77693.76798
562	77626.03893
563	77533.40772
564	77461.45266
565	77381.02478
566	77316.94581
567	77240.35278
568	77152.33108
569	77076.5126
570	76999.13473
571	76917.14283
572	76855.02335
573	76787.01826
574	76714.07384
575	76624.69811
576	76555.69171
577	76475.89508
578	76427.8868
579	76374.00845
580	76326.23745
581	76267.54669
582	76196.92651
583	76139.19559
