iter	Passed	Remaining
0	143	143707
1	147	73514
2	150	49918
3	152	38072
4	155	30847
5	156	25928
6	157	22410
7	160	19888
8	163	18030
9	165	16357
10	168	15184
11	170	14021
12	172	13080
13	173	12230
14	175	11524
15	177	10887
16	181	10474
17	183	10014
18	185	9553
119	201	9892220	203	949621	192	8561
222	209	890323	199	8105
24	201	7865
25	205	7685
26	207	7473
27	209	7268
28	211	7088
229	229	7410330	232	7260331	234	7088332	235	690933	228	6482
34	232	6413
35	234	6268
36	236	6167
37	239	6065
38	241	5958
339	261	627440	248	5823
41	252	5763
42	256	5719
43	258	5621
44	262	5564
45	265	5509
46	267	5417
47	270	5370
48	272	5284
49	273	5201
50	275	5124
51	278	5077
52	281	5031
53	284	4978
54	286	4918
55	290	4896
56	295	4883
57	297	4826
58	299	4780
59	301	4729
60	304	4681
61	305	4626
62	307	4570
63	309	4530
64	311	4484
65	313	4437
66	315	4387
67	317	4346868	319	4316969	321	42770	326	4277
71	330	4260
72	335	4263
73	337	4220
74	339	4190
75	341	4148
76	344	4133
77	349	4136
78	351	4095
79	356	4099
80	359	4074
81	362	4059
82	364	4021
83	367	4012
84	370	3984
85	373	3964
86	374	3933
87	378	3920
88	379	3887
8989	382	3869
90	385	3850
91	387	3827
92	389	3797
93	392	3785
94	394	37595	398	3754
9696	400	3726
97	402	37098	406	3698
99	99	421	3710100	409	364101	418	3682
102	421	3669
103	422	3642
104	426	3635
105	428	3610
106	432	3606
107	437	3610
108	439	3591
109	440	3566
110	442	3546
111	444	3527
112	446	3504
113	448	3485
114	450	3467
115	452	3444
116	456	3447
117	459	3433
118	464	3440
119	466	3420
120	471	3427
121	473	3406
122	475	3387
123	477	3373
124	480	3366
125	482	3348
126	485	3338
127	489	3337
128128	504	34129129	508	34130130	511	33131131	514	33132132	518	33133133	521	33134	510	3273
135	512	3258
136136	529	33137137	531	33138	521	3230
139	523	3216
140140	540	32141141	543	32142	533	3196
143	540	3213
144	542	3200
145	544	3187
146	547	3174
147	548	3158
148	552	3154
149	554	3143
150	557	3135
151	559	3119
152	561	3108
153	563	3093
154154	578	31155155	579	31156156	583	31157157	584	31158158	589	3119
159	591	31160160	595	3102
161	596	30162	586	3013
163	590	3008
164	592	2996
165	596	2998
166	600	2992
167167	614	30168	603	2969
169	607	2966
170170	622	30171171	625	30172172	629	3007
173	631	2996
174	634	2989
175	637	2985
176	639	2974
177	642	2968
178	644	2955
179	645	2941
180	647	2928
181	649	29182182	651	29183183	654	29184	646	2847
185	649	2842
186	651	2831
187	653	2823
188	657	2819
189	658	2809
190	660	2798
191	662	2788
192	664	2778
193	666	2768
194	668	2758
195	669	2748
196	674	2747
197	675	2737
198	677	2727
199	679	2717
200	681	2708
201	683	2700
202	685	2690
203	688	2684
204	689	2674
205	691	2665
206	693	2656
207	695	2646
208	697	2638
209	698	2629
210	701	2621
211	704	2617
212	706	2609
213	708	2601
214	710	2592
215	712	2584
216	713	2575
217	716	2568
218	717	2559
219	721	2558
220	723	2550
221	725	2542
222	727	2533
223	729	2526
224	731	2518
225	733	2510
226	734	2502
227	737	2496
228	738	2487
229	740	2479
230	742	2471
231	744	2462
232	745	2454
233	747	2446
234	749	2438
235	750	2430
236	753	2426
237	755	2419
238	757	2411
239	759	2405
240	761	2397
241	763	2390
242	765	2383
243	767	2376
244	770	2373
245	772	2368
246	774	2361
247	776	2355
248	778	2348
249	780	2341
250	782	2334
251	785	2331
252	787	2324
253	789	2317
254	791	2311
255	793	2304
256	794	2298
257	796	2291
258	798	2284
259	801	2281
260	803	2274
261	805	2267
262	806	2260
263	808	2254
264	810	2247
265	811	2240
266	813	2234
267	815	2227
268	818	2223
269	820	2217
270	822	2211
271	823	2204
272	825	2198
273	827	2192
274	829	2185
275	830	2179
276	833	2176
277	835	2170
278	837	2164
279	839	2158
280	841	2152
281	843	2146
282	844	2140
283	846	2135
284	848	2128
285	851	2125
286	852	2118
287	856	2116
288	859	2113
289	861	2108
290	862	2101
291	864	2096
292	867	2093
293	869	2087
294	870	2080
295	872	2074
296	876	2075
297	878	2069
298	880	2063
299	884	2063
300	887	2060
301	889	2056
302	891	2051
303	893	2045
304	895	2041
305	899	2038
306	900	2033
307	903	2029
308	905	2025
309	908	2022
310	910	2016
311	912	2011
312	914	2006
313	916	2002
314	918	1997
315	920	1992
316	922	1987
317	929	1993
318	932	1990
319	933	1984
320	935	1979
321	939	1978
322	941	1972
323	944	1970
324	946	1965
325	948	1961
326	950	1956
327	952	1952
328	954	1946
329	956	1941
330	959	1938
331	962	1937
332	964	1932
333	966	1927
334	968	1923
335	972	1921
336	973	1915
337	977	1914
338	979	1910
339	983	1908
340	987	1908
341	989	1903
342	991	1898
343	992	1893
344	994	1888
345	997	1884
346	998	1879
347	1000	1874
348	1002	1869
349	1004	1864
350	1007	1863
351	1010	1859
352	1014	1858
353	1015	1853
354	1017	1849
355	1019	1843
356	1022	1841
357	1026	1840
358	1027	1835
359	1030	1832
360	1033	1829
361	1034	1823
362	1036	1819
363	1043	1823
364	1045	1819
365	1048	1815
366	1051	1813
367	1054	1810
368	1055	1805
369	1057	1800
370	1059	1796
371	1062	1793
372	1064	1789
373	1065	1784
374	1067	1779
375	1070	1775
376	1072	1772
377	1074	1767
378	1078	1767
379	1081	1764
380	1082	1759
381	1090	1763
382	1091	1758
383	1093	1753
384	1097	1752
385	1099	1748
386	1102	1746
387	1103	1741
388	1105	1736
389	1107	1732
390	1109	1728
391	1112	1725
392	1116	1724
393	1118	1720
394	1119	1715
395	1122	1712
396	1124	1708
397	1128	1706
398	1129	1701
399	1131	1697
400	1134	1695
401	1136	1691
402	1138	1686
403	1140	1682
404	1142	1678
405	1146	1676
406	1148	1673
407	1150	1669
408	1152	1665
409	1154	1661
410	1156	1657
411	1157	1652
412	1161	1650
413	1162	1645
414	1166	1644
415	1168	1639
416	1174	1641
417	1176	1638
418	1180	1637
419	1183	1634
420	1187	1633
421	1190	1630
422	1195	1630
423	1197	1626
424	1199	1623
425	1202	1619
426	1203	1615
427	1205	1610
428	1207	1607
429	1210	1604
430	1212	1600
431	1214	1597
432	1216	1592
433	1218	1589
434	1220	1585
435	1222	1581
436	1224	1577
437	1227	1575
438	1229	1571
439	1231	1566
440	1234	1564
441	1235	1560
442	1239	1559
443	1242	1555
444	1244	1552
445	1246	1548
446	1247	1543
447	1249	1539
448	1251	1535
449	1252	1531
450	1256	1529
451	1258	1525
452	1261	1523
453	1263	1519
454	1265	1515
455	1267	1511
456	1268	1507
457	1270	1503
458	1272	1499
459	1274	1496
460	1276	1492
461	1278	1488
462	1279	1484
463	1282	1481
464	1287	1481
465	1291	1480
466	1293	1476
467	1295	1472
468	1297	1469
469	1300	1466
470	1302	1463
471	1305	1460
472	1307	1456
473	1310	1453
474	1311	1449
475	1313	1445
476	1314	1441
477	1317	1438
478	1319	1434
479	1320	1430
480	1323	1428
481	1327	1426
482	1330	1424
483	1333	1421
484	1335	1417
485	1336	1413
486	1338	1410
487	1344	1410
488	1345	1406
489	1348	1403
490	1349	1399
491	1351	1395
492	1352	1391
493	1354	1387
494	1356	1384
495	1359	1381
496	1362	1378
497	1364	1375
498	1366	1371
499	1374	1374
500	1376	1370
501	1378	1367
502	1379	1363
503	1383	1361
504	1385	1357
