iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
0	0.7510732881	1.780025772	0.5323559151	0	0.2268041237	0.533820841	0.6219963031	0.2922201139	0
1	0.7978100497	1.769152034	0.5434782609	0	0	0.5386138614	0.646050982	0.1488833747	0
2	0.8164352344	1.757859233	0.540950455	0	0	0.5367793241	0.6445458316	0.118251928	0
3	0.8260115782	1.748318829	0.5520728008	0	0	0.5568862275	0.6540049546	0.109947644	0
4	0.8232620251	1.737588267	0.5470171891	0	0	0.5487437186	0.652173913	0.07506702413	0
5	0.8204017045	1.727215288	0.5455005056	0	0	0.5415821501	0.6497545008	0.09574468085	0
6	0.8258780544	1.716683557	0.5455005056	0	0	0.5454545455	0.6503467972	0.06575342466	0
7	0.8270627325	1.707037645	0.5465116279	0	0	0.5469223007	0.6500408831	0.08130081301	0
8	0.8310967316	1.697428181	0.5449949444	0	0	0.5516549649	0.6486707566	0.05494505495	0
9	0.8305797119	1.68863407	0.5460060667	0	0	0.5620655412	0.6486264863	0.03333333333	0
10	0.827753517	1.679309877	0.5485338726	0	0	0.565776459	0.6507806081	0.03878116343	0
11	0.8273237746	1.669686707	0.5460060667	0	0	0.5600794439	0.6494676495	0.02801120448	0
12	0.8278539716	1.660891636	0.5505561173	0	0	0.5592039801	0.6527265273	0.06629834254	0
13	0.8381118984	1.652654043	0.5546006067	0	0	0.5666003976	0.6546052632	0.08695652174	0
14	0.8442185386	1.644840968	0.5520728008	0	0	0.5626850938	0.6534816646	0.07650273224	0
15	0.8432796522	1.636274671	0.5505561173	0	0	0.5618199802	0.6526921496	0.06077348066	0
16	0.8441444023	1.628255277	0.5495449949	0	0	0.5626850938	0.6516023007	0.05013927577	0
17	0.8418114744	1.619585064	0.5495449949	0	0	0.5652600589	0.6507413509	0.05013927577	0
18	0.8458699237	1.612280368	0.5510616785	0	0	0.569185476	0.6515650741	0.05013927577	0
19	0.8451854659	1.605083071	0.5505561173	0	0	0.5680705191	0.6507216495	0.05555555556	0
20	0.8490919769	1.598223778	0.5530839232	0	0	0.5708699902	0.6526228831	0.06629834254	0
21	0.849521103	1.590184569	0.552578362	0	0	0.568914956	0.6523356759	0.07142857143	0
22	0.8486820439	1.582219966	0.552578362	0	0	0.5680705191	0.6517783292	0.08174386921	0
23	0.8492240277	1.574596244	0.5535894843	0	0	0.5708699902	0.6520479934	0.08196721311	0
24	0.8529702359	1.568492682	0.5530839232	0	0	0.5714285714	0.6520116134	0.07650273224	0
25	0.8531850383	1.561164573	0.5561172902	0	0	0.5725413827	0.653926049	0.1021505376	0
26	0.8534969727	1.555035428	0.5546006067	0	0	0.5739299611	0.6531120332	0.08152173913	0
27	0.8539913961	1.548279879	0.5561172902	0	0	0.5761396702	0.6541978387	0.08672086721	0
28	0.8524492284	1.541329273	0.552578362	0	0	0.5700389105	0.6514522822	0.08152173913	0
29	0.857136972	1.535071173	0.5586450961	0	0	0.5736434109	0.6561067111	0.1173333333	0
30	0.8560193193	1.528718977	0.5571284125	0	0	0.574199806	0.6544546211	0.1072386059	0
31	0.8578691712	1.522559127	0.5581395349	0	0	0.5747572816	0.6552730304	0.1167108753	0
32	0.8579616047	1.516406915	0.5586450961	0	0	0.5739299611	0.6558333333	0.1216931217	0
33	0.857952474	1.510730884	0.5591506572	0	0	0.574199806	0.6555323591	0.1315789474	0
34	0.8593674828	1.504614083	0.5581395349	0	0	0.5714285714	0.6541510221	0.1368421053	0
35	0.8599736425	1.499020482	0.5601617796	0	0	0.5747572816	0.6558197747	0.1372031662	0
36	0.8609568958	1.492623487	0.5596562184	0	0	0.5725413827	0.6558197747	0.1413612565	0
37	0.8627935718	1.48649771	0.5606673407	0	0	0.570593963	0.6563545151	0.1602067183	0
38	0.8639911744	1.480554417	0.5611729019	0	0	0.5739299611	0.6566290255	0.1550387597	0
39	0.8633351966	1.474469444	0.5621840243	0	0	0.5744888023	0.6569037657	0.1645244216	0
40	0.863918237	1.469420784	0.5621840243	0	0	0.5747572816	0.6568914956	0.1645244216	0
41	0.8641708066	1.464207209	0.5637007078	0	0	0.5750487329	0.6585774059	0.1692307692	0
42	0.8644343232	1.458597061	0.5626895854	0	0	0.573372206	0.6577405858	0.165374677	0
43	0.8654210888	1.453690506	0.5637007078	0	0	0.5739299611	0.6591384358	0.165374677	0
44	0.8654377638	1.448293068	0.5631951466	0	0	0.5725413827	0.6585774059	0.1696658098	0
45	0.8663723091	1.443231774	0.5637007078	0	0	0.5747572816	0.6579941251	0.1781170483	0
46	0.8654222107	1.43781848	0.5637007078	0	0	0.573372206	0.6582809224	0.1785714286	0
47	0.8665670821	1.433100978	0.5657229525	0	0	0.5766990291	0.6596726815	0.1832061069	0
48	0.8672996919	1.428124681	0.5647118301	0	0	0.5725413827	0.6591194969	0.1878172589	0
49	0.8673126383	1.423522101	0.564206269	0	0	0.572815534	0.658270361	0.1878172589	0
50	0.8683008933	1.418298355	0.5652173913	0	0	0.5717073171	0.6593959732	0.1964735516	0
51	0.8693059867	1.413823062	0.567239636	0	0	0.573372206	0.6605042017	0.2065491184	0
52	0.8694346278	1.4089152	0.5682507583	0	0	0.576436222	0.6613445378	0.2055137845	0
53	0.8705201584	1.404156663	0.5682507583	0	0	0.5778210117	0.6607818411	0.2055137845	0
54	0.8720914509	1.399729024	0.5687563195	0	0	0.5772594752	0.661059714	0.2105263158	0
55	0.8725406095	1.395462266	0.567239636	0	0	0.5753158406	0.6599411517	0.2060301508	0
56	0.8722457335	1.390911093	0.5662285137	0	0	0.573372206	0.6591004624	0.2060301508	0
57	0.8727840996	1.386420789	0.5687563195	0	0	0.5753158406	0.6607744108	0.2194513716	0
58	0.8731154306	1.381920755	0.5682507583	0	0	0.5739299611	0.6599241466	0.2271604938	0
59	0.8727710057	1.37757806	0.5697674419	0	0	0.5750487329	0.6613310868	0.2315270936	0
60	0.8728634314	1.37346902	0.5682507583	0	0	0.5750487329	0.6604964241	0.2183622829	0
61	0.873136773	1.369225976	0.567239636	0	0	0.57421875	0.6599411517	0.2133995037	0
62	0.8730693945	1.365032013	0.5692618807	0	0	0.576436222	0.6604808098	0.2303921569	0
63	0.8744069403	1.361475597	0.5738119312	0	0	0.5789473684	0.6641350211	0.2487804878	0
64	0.8754641828	1.357434979	0.5758341759	0	0	0.5825242718	0.6649724693	0.2602409639	0
65	0.8773458641	1.353399387	0.5738119312	0	0	0.5792031098	0.6632782719	0.2596153846	0
66	0.877330663	1.349577613	0.5743174924	0	0	0.5800193986	0.663555367	0.2631578947	0
67	0.8775638884	1.345709233	0.5743174924	0	0	0.5792031098	0.6638406104	0.2631578947	0
68	0.8775551357	1.342092644	0.5738119312	0	0	0.5778210117	0.663559322	0.2631578947	0
69	0.8775899358	1.338388639	0.5733063701	0	0	0.5792031098	0.663563267	0.2512077295	0
70	0.8786327597	1.334674047	0.5748230536	0	0	0.5819592629	0.6641221374	0.2589928058	0
71	0.8784536589	1.331033341	0.5753286148	0	0	0.5833333333	0.6644039033	0.2589928058	0
