iter	Passed	Remaining
0	82	164446
1	92	92251
2	100	66582
3	106	53155
4	113	45258
5	118	39529
6	123	35199
7	128	31982
8	133	29462
9	137	27451
10	142	25711
11	147	24425
12	152	23235
13	156	22168
14	160	21257
15	162	20182
16	166	19473
17	171	18900
18	176	18350
19	180	17834
20	184	17430
21	189	17053
22	193	16662
23	199	16411
24	203	16072
25	208	15795
26	212	15512
27	216	15257
28	221	15024
29	225	14789
30	229	14564
31	233	14386
32	238	14201
33	242	14022
34	246	13862
35	250	13692
36	255	13553
37	259	13422
38	264	13279
39	268	13135
40	272	13029
41	277	12913
42	281	12802
43	285	12711
44	290	12601
45	294	12502
46	298	12410
47	303	12322
48	307	12254
49	311	12161
50	315	12069
51	319	11981
52	324	11919
53	328	11838
54	332	11763
55	337	11703
56	341	11647
57	346	11595
58	350	11539
59	355	11495
60	359	11429
61	363	11375
62	367	11302
63	371	11245
64	376	11199
65	380	11155
66	384	11102
67	388	11048
68	393	11019
69	397	10966
70	401	10913
71	406	10876
72	410	10843
73	414	10797
74	419	10760
75	423	10719
76	427	10676
77	431	10630
78	435	10594
79	439	10557
80	444	10526
81	448	10490
82	452	10455
83	457	10432
84	461	10394
85	465	10367
86	469	10332
87	474	10301
88	477	10261
89	481	10224
90	486	10198
91	490	10173
92	494	10147
93	499	10125
94	503	10091
95	507	10071
96	512	10048
97	516	10025
98	520	10003
99	525	9986
100	529	9957
101	534	9942
102	538	9922
103	543	9904
104	547	9882
105	552	9870
106	556	9842
107	561	9829
108	565	9802
109	569	9779
110	573	9759
111	577	9736
112	581	9717
113	586	9707
114	590	9683
115	594	9661
116	599	9644
117	603	9628
118	608	9611
119	612	9595
120	617	9584
121	621	9570
122	626	9554
123	631	9547
124	635	9531
125	639	9513
126	644	9497
127	647	9474
128	652	9459
129	656	9444
130	660	9426
131	664	9405
132	669	9392
133	673	9374
134	678	9369
135	682	9354
136	686	9340
137	691	9326
138	695	9311
139	699	9297
140	704	9284
141	708	9265
142	712	9247
143	717	9244
144	721	9236
145	726	9220
146	730	9206
147	734	9190
148	738	9173
149	742	9157
150	746	9141
151	750	9128
152	754	9114
153	759	9100
154	763	9084
155	767	9069
156	771	9056
157	776	9048
158	780	9034
159	785	9034
160	790	9027
161	794	9015
162	799	9007
163	803	8992
164	807	8982
165	811	8965
166	815	8954
167	819	8939
168	823	8923
169	827	8909
170	831	8894
171	836	8886
172	841	8882
173	845	8871
174	849	8860
175	853	8848
176	858	8840
177	862	8829
178	866	8814
179	870	8803
180	874	8789
181	878	8779
182	883	8770
183	887	8756
184	891	8745
185	895	8732
186	899	8721
187	903	8712
188	907	8698
189	912	8688
190	916	8680
191	920	8670
192	925	8660
193	929	8651
194	933	8644
195	938	8637
196	943	8632
197	947	8620
198	951	8610
199	955	8600
200	959	8588
201	964	8582
202	968	8573
203	972	8561
